nohup: ignoring input
Starting from scratch
Epoch 1 of 2000
Found 300 cases for training
   Iteration 1 of 100, loss = 0.024611137807369232
   Iteration 2 of 100, loss = 0.035083383321762085
   Iteration 3 of 100, loss = 0.03676193952560425
   Iteration 4 of 100, loss = 0.03787430841475725
   Iteration 5 of 100, loss = 0.03781872391700745
   Iteration 73 of 100, loss = 0.011302391169210002
   Iteration 74 of 100, loss = 0.011313363771281532
   Iteration 75 of 100, loss = 0.011342852786183357
   Iteration 76 of 100, loss = 0.011258804239332676
   Iteration 77 of 100, loss = 0.011241863868743568
   Iteration 78 of 100, loss = 0.011232583843267117
   Iteration 79 of 100, loss = 0.01120755874516466
   Iteration 80 of 100, loss = 0.011274633056018502
   Iteration 81 of 100, loss = 0.011211374142195708
   Iteration 82 of 100, loss = 0.011187009161292779
   Iteration 83 of 100, loss = 0.0112643443519272
   Iteration 84 of 100, loss = 0.011222004092165403
   Iteration 85 of 100, loss = 0.011300800105228144
   Iteration 86 of 100, loss = 0.011343784760250601
   Iteration 87 of 100, loss = 0.01133872228192872
   Iteration 88 of 100, loss = 0.011340372349050913
   Iteration 89 of 100, loss = 0.011304618141959223
   Iteration 90 of 100, loss = 0.011367901518113083
   Iteration 91 of 100, loss = 0.01141083129978442
   Iteration 92 of 100, loss = 0.011492674279472103
   Iteration 93 of 100, loss = 0.011574542290100487
   Iteration 94 of 100, loss = 0.011654263401919223
   Iteration 95 of 100, loss = 0.011688848457446223
   Iteration 96 of 100, loss = 0.011677722058569392
   Iteration 97 of 100, loss = 0.01173141448921764
   Iteration 98 of 100, loss = 0.011717646591821495
   Iteration 99 of 100, loss = 0.011686781543598633
   Iteration 100 of 100, loss = 0.011711732586845755

   End of epoch 2; saving model... 

Epoch 3 of 2000
   Iteration 1 of 100, loss = 0.014635580591857433
   Iteration 2 of 100, loss = 0.011723450850695372
   Iteration 3 of 100, loss = 0.011257952700058619
   Iteration 4 of 100, loss = 0.009961623465642333
   Iteration 5 of 100, loss = 0.010911127179861068
   Iteration 6 of 100, loss = 0.010453200278182825
   Iteration 7 of 100, loss = 0.010387073404022626
   Iteration 8 of 100, loss = 0.010713901952840388
   Iteration 9 of 100, loss = 0.010458383398751417
   Iteration 10 of 100, loss = 0.010517433937638997
   Iteration 11 of 100, loss = 0.010486351495439356
   Iteration 12 of 100, loss = 0.010916446490834156
   Iteration 13 of 100, loss = 0.010955574349142037
   Iteration 14 of 100, loss = 0.011360459229243653
   Iteration 15 of 100, loss = 0.011328618290523689
   Iteration 16 of 100, loss = 0.011068462335970253
   Iteration 17 of 100, loss = 0.010741151732337825
   Iteration 18 of 100, loss = 0.010629298243050775
   Iteration 19 of 100, loss = 0.010563925864469064
   Iteration 20 of 100, loss = 0.010472737182863057
   Iteration 21 of 100, loss = 0.010706632154151088
   Iteration 22 of 100, loss = 0.0105939747299999
   Iteration 23 of 100, loss = 0.010715905840144209
   Iteration 24 of 100, loss = 0.010506216688857725
   Iteration 25 of 100, loss = 0.010580481458455325
   Iteration 26 of 100, loss = 0.010580554909001175
   Iteration 27 of 100, loss = 0.010642529689465408
   Iteration 28 of 100, loss = 0.01049626713419067
   Iteration 29 of 100, loss = 0.010475734040012648
   Iteration 30 of 100, loss = 0.010615611153965195
   Iteration 31 of 100, loss = 0.010641750924649739
   Iteration 32 of 100, loss = 0.010755096984212287
   Iteration 33 of 100, loss = 0.010795644724346472
   Iteration 34 of 100, loss = 0.010695102515027803
   Iteration 35 of 100, loss = 0.010708163864910603
   Iteration 36 of 100, loss = 0.010604494807517363
   Iteration 37 of 100, loss = 0.010597074517627826
   Iteration 38 of 100, loss = 0.010658658170876535
   Iteration 39 of 100, loss = 0.010689216391302837
   Iteration 40 of 100, loss = 0.010684241901617497
   Iteration 41 of 100, loss = 0.010909250676177623
   Iteration 42 of 100, loss = 0.01093090807885996
   Iteration 43 of 100, loss = 0.010940913641608731
   Iteration 44 of 100, loss = 0.011003144244155423
   Iteration 45 of 100, loss = 0.011013340422262747
   Iteration 46 of 100, loss = 0.011056221950718242
   Iteration 47 of 100, loss = 0.011052319968238156
   Iteration 48 of 100, loss = 0.01100913979462348
   Iteration 49 of 100, loss = 0.011033659354232403
   Iteration 50 of 100, loss = 0.01096388596110046
   Iteration 51 of 100, loss = 0.010917019053344048
   Iteration 52 of 100, loss = 0.010924081309125401
   Iteration 53 of 100, loss = 0.010894455358315751
   Iteration 54 of 100, loss = 0.010972359088352986
   Iteration 55 of 100, loss = 0.01089165522293611
   Iteration 56 of 100, loss = 0.010779653002308416
   Iteration 57 of 100, loss = 0.010768944454755177
   Iteration 58 of 100, loss = 0.010837739550283757
   Iteration 59 of 100, loss = 0.010833000614292036
   Iteration 60 of 100, loss = 0.010835827429157991
   Iteration 61 of 100, loss = 0.010858140893463717
   Iteration 62 of 100, loss = 0.010813808887295665
   Iteration 63 of 100, loss = 0.010818237061834051
   Iteration 64 of 100, loss = 0.010753252085123677
   Iteration 65 of 100, loss = 0.010713598225265741
   Iteration 66 of 100, loss = 0.010640598657174092
   Iteration 67 of 100, loss = 0.01060513346525493
   Iteration 68 of 100, loss = 0.010554869953707299
   Iteration 69 of 100, loss = 0.010496540487730417
   Iteration 70 of 100, loss = 0.010520958747448666
   Iteration 71 of 100, loss = 0.010497970657396905
   Iteration 72 of 100, loss = 0.010430246041828973
   Iteration 73 of 100, loss = 0.0104304185354036
   Iteration 74 of 100, loss = 0.010371799826168933
   Iteration 75 of 100, loss = 0.010322499933342139
   Iteration 76 of 100, loss = 0.010346515912954745
   Iteration 77 of 100, loss = 0.010288623113233548
   Iteration 78 of 100, loss = 0.010378205492041813
   Iteration 79 of 100, loss = 0.010340392230007845
   Iteration 80 of 100, loss = 0.010360876383492723
   Iteration 81 of 100, loss = 0.010377339058682138
   Iteration 82 of 100, loss = 0.010368213369851796
   Iteration 83 of 100, loss = 0.010372532705540758
   Iteration 84 of 100, loss = 0.010302621388940938
   Iteration 85 of 100, loss = 0.01033257163294098
   Iteration 86 of 100, loss = 0.010371207611548692
   Iteration 87 of 100, loss = 0.010363825794908849
   Iteration 88 of 100, loss = 0.010373462928162719
   Iteration 89 of 100, loss = 0.010390754072309544
   Iteration 90 of 100, loss = 0.010324271214711998
   Iteration 91 of 100, loss = 0.010284963805883467
   Iteration 92 of 100, loss = 0.01026089165015551
   Iteration 93 of 100, loss = 0.010246613498536809
   Iteration 94 of 100, loss = 0.010284361850589197
   Iteration 95 of 100, loss = 0.010321216662659456
   Iteration 96 of 100, loss = 0.010314385324212102
   Iteration 97 of 100, loss = 0.010322911352802491
   Iteration 98 of 100, loss = 0.010293506423239502
   Iteration 99 of 100, loss = 0.010224509175227147
   Iteration 100 of 100, loss = 0.01025341865606606

   End of epoch 3; saving model... 

Epoch 4 of 2000
   Iteration 1 of 100, loss = 0.008925623260438442
   Iteration 2 of 100, loss = 0.01183478394523263
   Iteration 3 of 100, loss = 0.009336173223952452
   Iteration 4 of 100, loss = 0.008659987710416317
   Iteration 5 of 100, loss = 0.00934800673276186
   Iteration 6 of 100, loss = 0.008998592228939136
   Iteration 7 of 100, loss = 0.009160472080111504
   Iteration 8 of 100, loss = 0.009979879017919302
   Iteration 9 of 100, loss = 0.009582982036388583
   Iteration 10 of 100, loss = 0.009298602724447847
   Iteration 11 of 100, loss = 0.009625173808837479
   Iteration 12 of 100, loss = 0.009688397985883057
   Iteration 13 of 100, loss = 0.009649832983716177
   Iteration 14 of 100, loss = 0.009472394861014826
   Iteration 15 of 100, loss = 0.009856397689630588
   Iteration 16 of 100, loss = 0.009927641978720203
   Iteration 17 of 100, loss = 0.009838565170545788
   Iteration 18 of 100, loss = 0.010033796205081873
   Iteration 19 of 100, loss = 0.009953934968890328
   Iteration 20 of 100, loss = 0.010115086077712476
   Iteration 21 of 100, loss = 0.01024529357839908
   Iteration 22 of 100, loss = 0.010200926293195649
   Iteration 23 of 100, loss = 0.010241088032236566
   Iteration 24 of 100, loss = 0.010275100027987113
   Iteration 25 of 100, loss = 0.010311312731355429
   Iteration 26 of 100, loss = 0.010307504885041943
   Iteration 27 of 100, loss = 0.010305086892374136
   Iteration 28 of 100, loss = 0.010212963629913117
   Iteration 29 of 100, loss = 0.010299714137639466
   Iteration 30 of 100, loss = 0.010208068260302147
   Iteration 31 of 100, loss = 0.010243918115813886
   Iteration 32 of 100, loss = 0.010123936779564247
   Iteration 33 of 100, loss = 0.010148179406921068
   Iteration 34 of 100, loss = 0.01020980325034436
   Iteration 35 of 100, loss = 0.010119413025677204
   Iteration 36 of 100, loss = 0.010190113344126277
   Iteration 37 of 100, loss = 0.01003502928526015
   Iteration 38 of 100, loss = 0.010053544256247972
   Iteration 39 of 100, loss = 0.010115774706579171
   Iteration 40 of 100, loss = 0.0099849842954427
   Iteration 41 of 100, loss = 0.00986748013827132
   Iteration 42 of 100, loss = 0.00987455186744531
   Iteration 43 of 100, loss = 0.009831643273490806
   Iteration 44 of 100, loss = 0.009882200022482059
   Iteration 45 of 100, loss = 0.009836577003200848
   Iteration 46 of 100, loss = 0.009898390054054882
   Iteration 47 of 100, loss = 0.009906342431427316
   Iteration 48 of 100, loss = 0.010027939938784888
   Iteration 49 of 100, loss = 0.010091520826883462
   Iteration 50 of 100, loss = 0.009983042217791081
   Iteration 51 of 100, loss = 0.009977841950660827
   Iteration 52 of 100, loss = 0.01006359624891327
   Iteration 53 of 100, loss = 0.010077167372658567
   Iteration 54 of 100, loss = 0.010065339936840313
   Iteration 55 of 100, loss = 0.010037081485444849
   Iteration 56 of 100, loss = 0.010032563270734889
   Iteration 57 of 100, loss = 0.01003351837004486
   Iteration 58 of 100, loss = 0.010130954199823839
   Iteration 59 of 100, loss = 0.010192021916983492
   Iteration 60 of 100, loss = 0.010252313377956549
   Iteration 61 of 100, loss = 0.010185104558152741
   Iteration 62 of 100, loss = 0.010182338488859034
   Iteration 63 of 100, loss = 0.01010590944705265
   Iteration 64 of 100, loss = 0.010063420937513001
   Iteration 65 of 100, loss = 0.010085454396903514
   Iteration 66 of 100, loss = 0.010093146314223608
   Iteration 67 of 100, loss = 0.010083764847089996
   Iteration 68 of 100, loss = 0.010050002752584131
   Iteration 69 of 100, loss = 0.010068115137139524
   Iteration 70 of 100, loss = 0.01008324345706829
   Iteration 71 of 100, loss = 0.009994780726757057
   Iteration 72 of 100, loss = 0.01001379427099083
   Iteration 73 of 100, loss = 0.010003253399738914
   Iteration 74 of 100, loss = 0.010030760093139031
   Iteration 75 of 100, loss = 0.010046621824925144
   Iteration 76 of 100, loss = 0.009995437720422879
   Iteration 77 of 100, loss = 0.009980711580991938
   Iteration 78 of 100, loss = 0.010053462566783985
   Iteration 79 of 100, loss = 0.010159596426506774
   Iteration 80 of 100, loss = 0.010085473445360548
   Iteration 81 of 100, loss = 0.010004790048517379
   Iteration 82 of 100, loss = 0.010011162185791607
   Iteration 83 of 100, loss = 0.010023646805637393
   Iteration 84 of 100, loss = 0.00999500339440558
   Iteration 85 of 100, loss = 0.00994124875184806
   Iteration 86 of 100, loss = 0.009919204697727637
   Iteration 87 of 100, loss = 0.009904925414393174
   Iteration 88 of 100, loss = 0.009857668268854137
   Iteration 89 of 100, loss = 0.009833568191741792
   Iteration 90 of 100, loss = 0.009831599536765781
   Iteration 91 of 100, loss = 0.009878626848049053
   Iteration 92 of 100, loss = 0.00988140385142406
   Iteration 93 of 100, loss = 0.009893476630070357
   Iteration 94 of 100, loss = 0.009850912814107823
   Iteration 95 of 100, loss = 0.009803830030815381
   Iteration 96 of 100, loss = 0.009818045017406499
   Iteration 97 of 100, loss = 0.009828085418233705
   Iteration 98 of 100, loss = 0.009823276321593749
   Iteration 99 of 100, loss = 0.009867619462029048
   Iteration 100 of 100, loss = 0.009838627364952118

   End of epoch 4; saving model... 

Epoch 5 of 2000
   Iteration 1 of 100, loss = 0.012726032175123692
   Iteration 2 of 100, loss = 0.009619714692234993
   Iteration 3 of 100, loss = 0.0085837262061735
   Iteration 4 of 100, loss = 0.008265655487775803
   Iteration 5 of 100, loss = 0.008950960822403431
   Iteration 6 of 100, loss = 0.009107686889668306
   Iteration 7 of 100, loss = 0.00966464408806392
   Iteration 8 of 100, loss = 0.009822503430768847
   Iteration 9 of 100, loss = 0.009573435824778345
   Iteration 10 of 100, loss = 0.009686446283012629
   Iteration 11 of 100, loss = 0.00914881342429329
   Iteration 12 of 100, loss = 0.009073627938050777
   Iteration 13 of 100, loss = 0.009273668733210517
   Iteration 14 of 100, loss = 0.008990942018239625
   Iteration 15 of 100, loss = 0.009136689004177849
   Iteration 16 of 100, loss = 0.009431104976101778
   Iteration 17 of 100, loss = 0.009714584290871726
   Iteration 18 of 100, loss = 0.009533568375950886
   Iteration 19 of 100, loss = 0.009616055170466242
   Iteration 20 of 100, loss = 0.00975596884964034
   Iteration 21 of 100, loss = 0.009808728815100733
   Iteration 22 of 100, loss = 0.009593263660049573
   Iteration 23 of 100, loss = 0.009755466345940595
   Iteration 24 of 100, loss = 0.009872513949327791
   Iteration 25 of 100, loss = 0.009659968735650181
   Iteration 26 of 100, loss = 0.009686503711586388
   Iteration 27 of 100, loss = 0.009822883513859577
   Iteration 28 of 100, loss = 0.009958799803696041
   Iteration 29 of 100, loss = 0.00972957390456878
   Iteration 30 of 100, loss = 0.009609778380642335
   Iteration 31 of 100, loss = 0.009668700397014618
   Iteration 32 of 100, loss = 0.009714522719150409
   Iteration 33 of 100, loss = 0.009709877780441082
   Iteration 34 of 100, loss = 0.009817944702637546
   Iteration 35 of 100, loss = 0.009700952430388756
   Iteration 36 of 100, loss = 0.009655651804577146
   Iteration 37 of 100, loss = 0.009584074198092157
   Iteration 38 of 100, loss = 0.009432514718929795
   Iteration 39 of 100, loss = 0.009505209136897555
   Iteration 40 of 100, loss = 0.009636118734488264
   Iteration 41 of 100, loss = 0.009719325257919548
   Iteration 42 of 100, loss = 0.00962964205315248
   Iteration 43 of 100, loss = 0.009570769776135336
   Iteration 44 of 100, loss = 0.009432936060792681
   Iteration 45 of 100, loss = 0.009542517689988017
   Iteration 46 of 100, loss = 0.009728005960705164
   Iteration 47 of 100, loss = 0.00970392794586084
   Iteration 48 of 100, loss = 0.009782179428536134
   Iteration 49 of 100, loss = 0.009723415336932759
   Iteration 50 of 100, loss = 0.009686413486488164
   Iteration 51 of 100, loss = 0.009704410486544171
   Iteration 52 of 100, loss = 0.00971342820692091
   Iteration 53 of 100, loss = 0.009689298427646171
   Iteration 54 of 100, loss = 0.009708506162968223
   Iteration 55 of 100, loss = 0.009675705470991405
   Iteration 56 of 100, loss = 0.009620163252943062
   Iteration 57 of 100, loss = 0.009678037195842256
   Iteration 58 of 100, loss = 0.009646718546844506
   Iteration 59 of 100, loss = 0.009600313273810987
   Iteration 60 of 100, loss = 0.009593436917445313
   Iteration 61 of 100, loss = 0.009558186435033797
   Iteration 62 of 100, loss = 0.009488251732452022
   Iteration 63 of 100, loss = 0.009434071639257054
   Iteration 64 of 100, loss = 0.009398643804161111
   Iteration 65 of 100, loss = 0.009383286453353672
   Iteration 66 of 100, loss = 0.009416644591979231
   Iteration 67 of 100, loss = 0.009344755501639265
   Iteration 68 of 100, loss = 0.009333881847423446
   Iteration 69 of 100, loss = 0.009277876685845895
   Iteration 70 of 100, loss = 0.009200852560544653
   Iteration 71 of 100, loss = 0.009133825213058104
   Iteration 72 of 100, loss = 0.009093435264528833
   Iteration 73 of 100, loss = 0.009013200446657122
   Iteration 74 of 100, loss = 0.008994554924602443
   Iteration 75 of 100, loss = 0.009024006215234597
   Iteration 76 of 100, loss = 0.009031907581773243
   Iteration 77 of 100, loss = 0.00906466759209122
   Iteration 78 of 100, loss = 0.009138083909280025
   Iteration 79 of 100, loss = 0.00912886019796133
   Iteration 80 of 100, loss = 0.009069461183389648
   Iteration 81 of 100, loss = 0.009080810616091813
   Iteration 82 of 100, loss = 0.009067732778309686
   Iteration 83 of 100, loss = 0.009089759276080203
   Iteration 84 of 100, loss = 0.009095926297872904
   Iteration 85 of 100, loss = 0.00907435039167895
   Iteration 86 of 100, loss = 0.00908388213666026
   Iteration 87 of 100, loss = 0.009040396719443044
   Iteration 88 of 100, loss = 0.009036817847200755
   Iteration 89 of 100, loss = 0.00904972165341625
   Iteration 90 of 100, loss = 0.009075064424218402
   Iteration 91 of 100, loss = 0.009100020162065278
   Iteration 92 of 100, loss = 0.009039399171065863
   Iteration 93 of 100, loss = 0.008993442703579222
   Iteration 94 of 100, loss = 0.009025294494696278
   Iteration 95 of 100, loss = 0.009109711492630212
   Iteration 96 of 100, loss = 0.009086963126416473
   Iteration 97 of 100, loss = 0.009089445875304723
   Iteration 98 of 100, loss = 0.009072350981949391
   Iteration 99 of 100, loss = 0.009091038132236913
   Iteration 100 of 100, loss = 0.00908645526273176

   End of epoch 5; saving model... 

Epoch 6 of 2000
   Iteration 1 of 100, loss = 0.013746720738708973
   Iteration 2 of 100, loss = 0.013523089699447155
   Iteration 3 of 100, loss = 0.011026825134952864
   Iteration 4 of 100, loss = 0.011329199420288205
   Iteration 5 of 100, loss = 0.010806885547935963
   Iteration 6 of 100, loss = 0.010079773298154274
   Iteration 7 of 100, loss = 0.009709238806473357
   Iteration 8 of 100, loss = 0.009858467557933182
   Iteration 9 of 100, loss = 0.010019783603234423
   Iteration 10 of 100, loss = 0.010688337543979288
   Iteration 11 of 100, loss = 0.010791659143499353
   Iteration 12 of 100, loss = 0.010451879158305625
   Iteration 13 of 100, loss = 0.010885250503913714
   Iteration 14 of 100, loss = 0.010614047226096903
   Iteration 15 of 100, loss = 0.010715810519953569
   Iteration 16 of 100, loss = 0.010447986802319065
   Iteration 17 of 100, loss = 0.010245437514694297
   Iteration 18 of 100, loss = 0.009878345700498257
   Iteration 19 of 100, loss = 0.009756833474200807
   Iteration 20 of 100, loss = 0.00951984025305137
   Iteration 21 of 100, loss = 0.009303399838418477
   Iteration 22 of 100, loss = 0.009091352229006588
   Iteration 23 of 100, loss = 0.008982197634632821
   Iteration 24 of 100, loss = 0.009140023544508344
   Iteration 25 of 100, loss = 0.008948122905567289
   Iteration 26 of 100, loss = 0.008848155696446506
   Iteration 27 of 100, loss = 0.008686332816809968
   Iteration 28 of 100, loss = 0.00861289702256077
   Iteration 29 of 100, loss = 0.008525002675516338
   Iteration 30 of 100, loss = 0.00853948794150104
   Iteration 31 of 100, loss = 0.008535646705798084
   Iteration 32 of 100, loss = 0.008419901823799592
   Iteration 33 of 100, loss = 0.008458282255257169
   Iteration 34 of 100, loss = 0.008852295817204696
   Iteration 35 of 100, loss = 0.008944416092708707
   Iteration 36 of 100, loss = 0.009043188707437366
   Iteration 37 of 100, loss = 0.009043445930237303
   Iteration 38 of 100, loss = 0.008903911668121031
   Iteration 39 of 100, loss = 0.008847111143553868
   Iteration 40 of 100, loss = 0.008869644463993609
   Iteration 41 of 100, loss = 0.008876767622806677
   Iteration 42 of 100, loss = 0.008839397025959832
   Iteration 43 of 100, loss = 0.008784094749581675
   Iteration 44 of 100, loss = 0.008799678868275474
   Iteration 45 of 100, loss = 0.008756860035161178
   Iteration 46 of 100, loss = 0.008792929574037376
   Iteration 47 of 100, loss = 0.008723116529352487
   Iteration 48 of 100, loss = 0.008730735872328902
   Iteration 49 of 100, loss = 0.008742619809523528
   Iteration 50 of 100, loss = 0.008833682602271438
   Iteration 51 of 100, loss = 0.00879970632091749
   Iteration 52 of 100, loss = 0.008749088326182503
   Iteration 53 of 100, loss = 0.008724587495034596
