nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/models_fused/model_fused_v1/checkpoint_1100.pth
Epoch 1101 of 2000
Found 300 cases for training
   Iteration 1 of 100, tot loss = 4.8497419357299805, l1: 0.00010021883645094931, l2: 0.00038475534529425204
   Iteration 2 of 100, tot loss = 3.958925724029541, l1: 9.450610377825797e-05, l2: 0.00030138645524857566
   Iteration 3 of 100, tot loss = 4.553200085957845, l1: 0.00010600775325049956, l2: 0.0003493122397533928
   Iteration 4 of 100, tot loss = 4.5902276039123535, l1: 0.00010446665692143142, l2: 0.00035455609395285137
   Iteration 5 of 100, tot loss = 4.507484722137451, l1: 0.00010158693912671879, l2: 0.0003491615265375003
   Iteration 60 of 100, tot loss = 4.86832267443339, l1: 0.00011005446097745638, l2: 0.000376777803467121
   Iteration 61 of 100, tot loss = 4.879320941987585, l1: 0.0001102541576327611, l2: 0.0003776779335343325
   Iteration 62 of 100, tot loss = 4.8574709546181465, l1: 0.00010995822189978489, l2: 0.0003757888705642413
   Iteration 63 of 100, tot loss = 4.829217698838976, l1: 0.00010954875896069487, l2: 0.00037337300812988173
   Iteration 64 of 100, tot loss = 4.801548048853874, l1: 0.00010943083947267951, l2: 0.00037072396253279294
   Iteration 65 of 100, tot loss = 4.782845508135282, l1: 0.000108966202186331, l2: 0.00036931834586609444
   Iteration 66 of 100, tot loss = 4.802770798856562, l1: 0.00010947673223254793, l2: 0.0003708003447779144
   Iteration 67 of 100, tot loss = 4.7646009637348685, l1: 0.0001085439011447632, l2: 0.0003679161923920124
   Iteration 68 of 100, tot loss = 4.758009072612314, l1: 0.00010824992440414943, l2: 0.00036755097993163336
   Iteration 69 of 100, tot loss = 4.770846591479536, l1: 0.00010839674117354055, l2: 0.0003686879149493019
   Iteration 70 of 100, tot loss = 4.796669942992074, l1: 0.00010839069883721615, l2: 0.0003712762930912764
   Iteration 71 of 100, tot loss = 4.809972820147662, l1: 0.00010856322447759507, l2: 0.00037243405482436623
   Iteration 72 of 100, tot loss = 4.810224821170171, l1: 0.00010828877475432819, l2: 0.00037273370516130753
   Iteration 73 of 100, tot loss = 4.804716329052024, l1: 0.00010794206133290921, l2: 0.0003725295694631027
   Iteration 74 of 100, tot loss = 4.805178761482239, l1: 0.00010800152223374746, l2: 0.00037251635139172494
   Iteration 75 of 100, tot loss = 4.791829163233439, l1: 0.00010764110416251545, l2: 0.00037154180948467306
   Iteration 76 of 100, tot loss = 4.780226936465816, l1: 0.00010762114116483932, l2: 0.0003704015499878503
   Iteration 77 of 100, tot loss = 4.776220238053954, l1: 0.00010724805122356281, l2: 0.00037037397038596745
   Iteration 78 of 100, tot loss = 4.78420043297303, l1: 0.00010749191931562308, l2: 0.00037092812234708946
   Iteration 79 of 100, tot loss = 4.776871672159509, l1: 0.00010745176976204767, l2: 0.00037023539546600105
   Iteration 80 of 100, tot loss = 4.789832016825676, l1: 0.00010726914342740201, l2: 0.0003717140558364918
   Iteration 81 of 100, tot loss = 4.771661240377544, l1: 0.00010667778001839502, l2: 0.00037048834165483483
   Iteration 82 of 100, tot loss = 4.742754587313024, l1: 0.00010597634585481988, l2: 0.00036829911053845116
   Iteration 83 of 100, tot loss = 4.746744902737169, l1: 0.00010607288553378074, l2: 0.0003686016023997778
   Iteration 84 of 100, tot loss = 4.777014726684207, l1: 0.00010644614957570975, l2: 0.00037125532062851736
   Iteration 85 of 100, tot loss = 4.773814577214858, l1: 0.00010608882452395526, l2: 0.0003712926308199873
   Iteration 86 of 100, tot loss = 4.763974417087644, l1: 0.00010606538485579983, l2: 0.00037033205461379706
   Iteration 87 of 100, tot loss = 4.804680117245378, l1: 0.00010666809528671345, l2: 0.0003737999136685447
   Iteration 88 of 100, tot loss = 4.830705772746693, l1: 0.00010729533679213174, l2: 0.0003757752378574382
   Iteration 89 of 100, tot loss = 4.825663121898523, l1: 0.00010742041493440308, l2: 0.00037514589438502667
   Iteration 90 of 100, tot loss = 4.807756498124864, l1: 0.00010729295128031582, l2: 0.0003734826955931365
   Iteration 91 of 100, tot loss = 4.813686328929859, l1: 0.00010758957456686063, l2: 0.0003737790555153349
   Iteration 92 of 100, tot loss = 4.816012087075607, l1: 0.00010778474307185009, l2: 0.0003738164626196047
   Iteration 93 of 100, tot loss = 4.820646973066433, l1: 0.00010778718393750398, l2: 0.0003742775102133452
   Iteration 94 of 100, tot loss = 4.818680981372265, l1: 0.00010780859601583599, l2: 0.00037405949889092726
   Iteration 95 of 100, tot loss = 4.815375232696534, l1: 0.0001075760835527418, l2: 0.0003739614362865196
   Iteration 96 of 100, tot loss = 4.817096134026845, l1: 0.00010742576989741792, l2: 0.0003742838396950295
   Iteration 97 of 100, tot loss = 4.816125053720376, l1: 0.0001073443645790829, l2: 0.0003742681368861405
   Iteration 98 of 100, tot loss = 4.853996948320038, l1: 0.00010787077438607765, l2: 0.00037752891660843766
   Iteration 99 of 100, tot loss = 4.838778276636143, l1: 0.00010759116070623736, l2: 0.0003762866631726443
   Iteration 100 of 100, tot loss = 4.84699189901352, l1: 0.0001078060247891699, l2: 0.00037689316101022994

   End of epoch 1101; saving model... 

Epoch 1102 of 2000
   Iteration 1 of 100, tot loss = 5.964718341827393, l1: 9.766277798917145e-05, l2: 0.0004988090367987752
   Iteration 2 of 100, tot loss = 4.807004928588867, l1: 9.846341708907858e-05, l2: 0.000382237063604407
   Iteration 3 of 100, tot loss = 4.6702812512715655, l1: 0.00010728159880576034, l2: 0.00035974651109427214
   Iteration 4 of 100, tot loss = 4.913951277732849, l1: 0.00010847742123587523, l2: 0.0003829177003353834
   Iteration 5 of 100, tot loss = 5.870949077606201, l1: 0.00012519023875938727, l2: 0.0004619046696461737
   Iteration 6 of 100, tot loss = 6.438526391983032, l1: 0.00013374958386217864, l2: 0.0005101030595445385
   Iteration 7 of 100, tot loss = 6.112910747528076, l1: 0.00012999978831170926, l2: 0.0004812912874123348
   Iteration 8 of 100, tot loss = 6.064864873886108, l1: 0.00012976358630112372, l2: 0.00047672290020273067
   Iteration 9 of 100, tot loss = 6.202629195319282, l1: 0.00013278550533060398, l2: 0.00048747741190406185
   Iteration 10 of 100, tot loss = 6.208768701553344, l1: 0.00013252928765723483, l2: 0.000488347580539994
   Iteration 11 of 100, tot loss = 6.124831503087824, l1: 0.000132023444166407, l2: 0.0004804597040426663
   Iteration 12 of 100, tot loss = 6.071285565694173, l1: 0.00013118500889201337, l2: 0.0004759435444915046
   Iteration 13 of 100, tot loss = 5.972839575547439, l1: 0.00012907496140822052, l2: 0.00046820899185079796
   Iteration 14 of 100, tot loss = 5.816187722342355, l1: 0.0001260848720059065, l2: 0.0004555338964564726
   Iteration 15 of 100, tot loss = 5.601155567169189, l1: 0.00012252741823128114, l2: 0.00043758813505216193
   Iteration 16 of 100, tot loss = 5.458106949925423, l1: 0.00012046716574332095, l2: 0.0004253435263308347
   Iteration 17 of 100, tot loss = 5.502977890126846, l1: 0.00012260630447759896, l2: 0.00042769148079541456
   Iteration 18 of 100, tot loss = 5.421864681773716, l1: 0.00012091559741141585, l2: 0.00042127086797134124
   Iteration 19 of 100, tot loss = 5.431555584857338, l1: 0.00012102075140175752, l2: 0.0004221348047538317
   Iteration 20 of 100, tot loss = 5.475184047222138, l1: 0.00012104303314117715, l2: 0.00042647536829463204
   Iteration 21 of 100, tot loss = 5.3895558175586515, l1: 0.00012010586284477973, l2: 0.00041884971558049856
   Iteration 22 of 100, tot loss = 5.401346054944125, l1: 0.00012018728540913963, l2: 0.0004199473180712878
   Iteration 23 of 100, tot loss = 5.444100732388704, l1: 0.00012046648265348504, l2: 0.0004239435878369714
   Iteration 24 of 100, tot loss = 5.35509838660558, l1: 0.00011900990678744468, l2: 0.0004164999293910417
   Iteration 25 of 100, tot loss = 5.341763343811035, l1: 0.00011886220891028642, l2: 0.00041531412221957
   Iteration 26 of 100, tot loss = 5.38736394735483, l1: 0.00011929323283346513, l2: 0.00041944315811493795
   Iteration 27 of 100, tot loss = 5.441902160644531, l1: 0.00012055774654813663, l2: 0.00042363246568668356
   Iteration 28 of 100, tot loss = 5.438242520604815, l1: 0.00012100493820201206, l2: 0.00042281931122748313
   Iteration 29 of 100, tot loss = 5.448546343836291, l1: 0.0001212783561264775, l2: 0.0004235762758541788
   Iteration 30 of 100, tot loss = 5.43598108291626, l1: 0.00012065774765990985, l2: 0.00042294035811210053
   Iteration 31 of 100, tot loss = 5.494266033172607, l1: 0.00012165410120242967, l2: 0.000427772500833887
   Iteration 32 of 100, tot loss = 5.52421897649765, l1: 0.0001216502621446125, l2: 0.000430771634910343
   Iteration 33 of 100, tot loss = 5.555703683332964, l1: 0.00012173010746306373, l2: 0.0004338402592993313
   Iteration 34 of 100, tot loss = 5.514387453303618, l1: 0.00012005002795109142, l2: 0.0004313887154293137
   Iteration 35 of 100, tot loss = 5.470774275915963, l1: 0.00011964036717212625, l2: 0.00042743705853354186
   Iteration 36 of 100, tot loss = 5.375237418545617, l1: 0.00011776330908711922, l2: 0.0004197604309107798
   Iteration 37 of 100, tot loss = 5.342677522350002, l1: 0.0001167702919062592, l2: 0.00041749745896841223
   Iteration 38 of 100, tot loss = 5.320863202998512, l1: 0.00011629270537875862, l2: 0.00041579361392283127
   Iteration 39 of 100, tot loss = 5.258929283190996, l1: 0.00011461851495252445, l2: 0.00041127441270360484
   Iteration 40 of 100, tot loss = 5.232354801893234, l1: 0.00011370725533197402, l2: 0.00040952822419058064
   Iteration 41 of 100, tot loss = 5.139774284711698, l1: 0.00011190936306886171, l2: 0.0004020680647865846
   Iteration 42 of 100, tot loss = 5.125091300124214, l1: 0.00011175581667408725, l2: 0.0004007533127497438
   Iteration 43 of 100, tot loss = 5.117247700691223, l1: 0.00011149000995426959, l2: 0.00040023475966611226
   Iteration 44 of 100, tot loss = 5.102881905707446, l1: 0.00011129356004279212, l2: 0.00039899462982165545
   Iteration 45 of 100, tot loss = 5.060810335477194, l1: 0.00011048920787288807, l2: 0.0003955918247811496
   Iteration 46 of 100, tot loss = 5.057143224322277, l1: 0.00011032956354029011, l2: 0.00039538475887283033
   Iteration 47 of 100, tot loss = 5.0431565046310425, l1: 0.00011012434194352419, l2: 0.00039419130808574724
   Iteration 48 of 100, tot loss = 5.088184756537278, l1: 0.00011022761062425464, l2: 0.00039859086367262836
   Iteration 49 of 100, tot loss = 5.018580981663296, l1: 0.00010884474598854895, l2: 0.00039301335078673625
   Iteration 50 of 100, tot loss = 5.0555008602142335, l1: 0.00010984614709741436, l2: 0.0003957039382657967
   Iteration 51 of 100, tot loss = 5.023625715106141, l1: 0.00010925839459934436, l2: 0.00039310417595712064
   Iteration 52 of 100, tot loss = 5.021559563966898, l1: 0.00010950768522049587, l2: 0.00039264827025293087
   Iteration 53 of 100, tot loss = 5.05826927131077, l1: 0.00010992014447868503, l2: 0.00039590678132745387
   Iteration 54 of 100, tot loss = 5.049308587003638, l1: 0.00010966817623099175, l2: 0.00039526268099305325
   Iteration 55 of 100, tot loss = 5.019124113429676, l1: 0.00010890193675136702, l2: 0.0003930104735032232
   Iteration 56 of 100, tot loss = 5.033979147672653, l1: 0.00010895767406639476, l2: 0.00039444023968826514
   Iteration 57 of 100, tot loss = 4.995047155179475, l1: 0.00010847336007077901, l2: 0.0003910313542674933
   Iteration 58 of 100, tot loss = 5.062078151209601, l1: 0.00010900609476234892, l2: 0.0003972017190696126
   Iteration 59 of 100, tot loss = 5.136889558727458, l1: 0.00011038852355371908, l2: 0.00040330043110909665
   Iteration 60 of 100, tot loss = 5.131304570039114, l1: 0.00011072396203720321, l2: 0.0004024064937160195
   Iteration 61 of 100, tot loss = 5.133326464012021, l1: 0.00011066767910961062, l2: 0.00040266496634118443
   Iteration 62 of 100, tot loss = 5.159910428908564, l1: 0.00011104500111785808, l2: 0.000404946040596828
   Iteration 63 of 100, tot loss = 5.140746445882888, l1: 0.00011103288575430357, l2: 0.00040304175756376474
   Iteration 64 of 100, tot loss = 5.141575429588556, l1: 0.00011093429350239603, l2: 0.000403223248440554
   Iteration 65 of 100, tot loss = 5.171345310944777, l1: 0.00011153658213935649, l2: 0.00040559794847817664
   Iteration 66 of 100, tot loss = 5.187685970104102, l1: 0.00011159769388596584, l2: 0.0004071709023044219
   Iteration 67 of 100, tot loss = 5.226109885457737, l1: 0.00011212341155102755, l2: 0.0004104875758335467
   Iteration 68 of 100, tot loss = 5.189704625045552, l1: 0.00011143927258672193, l2: 0.00040753118853043653
   Iteration 69 of 100, tot loss = 5.150744109913923, l1: 0.00011047701891452627, l2: 0.0004045973906033686
   Iteration 70 of 100, tot loss = 5.16743825844356, l1: 0.00011090059919557201, l2: 0.00040584322559880095
   Iteration 71 of 100, tot loss = 5.176886528310641, l1: 0.00011078370281070484, l2: 0.0004069049497098911
   Iteration 72 of 100, tot loss = 5.18471947312355, l1: 0.00011079959237273822, l2: 0.00040767235481729987
   Iteration 73 of 100, tot loss = 5.177593907264814, l1: 0.0001109230813186788, l2: 0.0004068363088339389
   Iteration 74 of 100, tot loss = 5.192002376994571, l1: 0.00011101988457085099, l2: 0.00040818035238378406
   Iteration 75 of 100, tot loss = 5.181812143325805, l1: 0.00011067965325006904, l2: 0.0004075015602090086
   Iteration 76 of 100, tot loss = 5.173600752102701, l1: 0.00011029235194751221, l2: 0.0004070677228140228
   Iteration 77 of 100, tot loss = 5.176027307262668, l1: 0.00011015611479789104, l2: 0.00040744661520592044
   Iteration 78 of 100, tot loss = 5.1664905823194065, l1: 0.00011004037398192733, l2: 0.00040660868380188895
   Iteration 79 of 100, tot loss = 5.133885090864157, l1: 0.00010970337696769864, l2: 0.0004036851318278998
   Iteration 80 of 100, tot loss = 5.130349257588387, l1: 0.000109453990125985, l2: 0.0004035809351989883
   Iteration 81 of 100, tot loss = 5.124100646854918, l1: 0.00010977962319660116, l2: 0.0004026304409813343
   Iteration 82 of 100, tot loss = 5.1443969360212, l1: 0.00010993850965616463, l2: 0.00040450118316717943
   Iteration 83 of 100, tot loss = 5.178038996386241, l1: 0.00011041800475557312, l2: 0.000407385894241855
   Iteration 84 of 100, tot loss = 5.193987054484231, l1: 0.0001105277960093753, l2: 0.00040887090861880485
   Iteration 85 of 100, tot loss = 5.1976918641258685, l1: 0.00011042179338640862, l2: 0.0004093473919270122
   Iteration 86 of 100, tot loss = 5.254038336665132, l1: 0.0001110437006414137, l2: 0.00041436013237026325
   Iteration 87 of 100, tot loss = 5.284979685969736, l1: 0.00011155713553140315, l2: 0.0004169408326644729
   Iteration 88 of 100, tot loss = 5.2925224006175995, l1: 0.00011167785822346394, l2: 0.0004175743814068317
   Iteration 89 of 100, tot loss = 5.290931104274279, l1: 0.00011200748804696375, l2: 0.0004170856219807933
   Iteration 90 of 100, tot loss = 5.261382325490316, l1: 0.00011167998280951805, l2: 0.000414458249320483
   Iteration 91 of 100, tot loss = 5.252891498607593, l1: 0.00011133497241394502, l2: 0.00041395417705004277
   Iteration 92 of 100, tot loss = 5.25199438178021, l1: 0.00011137302961920479, l2: 0.0004138264080013513
   Iteration 93 of 100, tot loss = 5.307675382142426, l1: 0.00011208283209388384, l2: 0.0004186847050654231
   Iteration 94 of 100, tot loss = 5.2877183112692325, l1: 0.00011179774001573876, l2: 0.00041697408999019165
   Iteration 95 of 100, tot loss = 5.292572382876748, l1: 0.00011184239452919236, l2: 0.0004174148427984236
   Iteration 96 of 100, tot loss = 5.255908489227295, l1: 0.000111274654538344, l2: 0.0004143161935038127
   Iteration 97 of 100, tot loss = 5.257252737418892, l1: 0.00011136270239655187, l2: 0.0004143625703045004
   Iteration 98 of 100, tot loss = 5.241735249149556, l1: 0.00011109439898917822, l2: 0.00041307912508681494
   Iteration 99 of 100, tot loss = 5.23780366627857, l1: 0.00011106005147648645, l2: 0.0004127203140553614
   Iteration 100 of 100, tot loss = 5.251728301048279, l1: 0.0001115442832451663, l2: 0.0004136285456479527

   End of epoch 1102; saving model... 

Epoch 1103 of 2000
   Iteration 1 of 100, tot loss = 3.9130845069885254, l1: 0.00010589521116344258, l2: 0.00028541323263198137
   Iteration 2 of 100, tot loss = 3.888159155845642, l1: 9.213363955495879e-05, l2: 0.0002966822648886591
   Iteration 3 of 100, tot loss = 4.262147665023804, l1: 0.00010020612050235893, l2: 0.00032600865233689547
   Iteration 4 of 100, tot loss = 4.2736212611198425, l1: 9.978459820558783e-05, l2: 0.00032757753069745377
   Iteration 5 of 100, tot loss = 4.141342449188232, l1: 9.596402815077454e-05, l2: 0.00031817021663300694
   Iteration 6 of 100, tot loss = 4.508299271265666, l1: 0.00010190865092833216, l2: 0.00034892127829759073
   Iteration 7 of 100, tot loss = 4.439755031040737, l1: 0.000103237790296719, l2: 0.00034073771426587233
   Iteration 8 of 100, tot loss = 4.569925487041473, l1: 0.00010512846529309172, l2: 0.0003518640842230525
   Iteration 9 of 100, tot loss = 4.738568835788303, l1: 0.00010636660833066951, l2: 0.00036749028044545814
   Iteration 10 of 100, tot loss = 4.599722671508789, l1: 0.00010465508457855322, l2: 0.00035531718749552964
   Iteration 11 of 100, tot loss = 4.884000994942405, l1: 0.00010956165748542513, l2: 0.0003788384439593012
   Iteration 12 of 100, tot loss = 4.647391617298126, l1: 0.00010552534028344478, l2: 0.00035921382247276296
   Iteration 13 of 100, tot loss = 4.546436254794781, l1: 0.00010306694793353717, l2: 0.0003515766774608682
   Iteration 14 of 100, tot loss = 4.6449265990938455, l1: 0.00010512182312335685, l2: 0.0003593708398901591
   Iteration 15 of 100, tot loss = 4.7270930449167885, l1: 0.00010680539271561429, l2: 0.00036590391246136276
   Iteration 16 of 100, tot loss = 4.750841483473778, l1: 0.00010793367027872591, l2: 0.0003671504791782354
   Iteration 17 of 100, tot loss = 4.731462745105519, l1: 0.00010689592411782702, l2: 0.0003662503517903935
   Iteration 18 of 100, tot loss = 4.671751141548157, l1: 0.00010575405354352875, l2: 0.0003614210622294599
   Iteration 19 of 100, tot loss = 4.739659271742168, l1: 0.00010614895329222476, l2: 0.0003678169780055453
   Iteration 20 of 100, tot loss = 4.8086108565330505, l1: 0.000106976211827714, l2: 0.0003738848776265513
   Iteration 21 of 100, tot loss = 4.707606860569546, l1: 0.00010464185574424587, l2: 0.0003661188328849329
   Iteration 22 of 100, tot loss = 4.772582184184682, l1: 0.000106578473853667, l2: 0.0003706797479852949
   Iteration 23 of 100, tot loss = 4.753604888916016, l1: 0.0001061334778964722, l2: 0.00036922701363674486
   Iteration 24 of 100, tot loss = 4.671923408905665, l1: 0.00010434268127331355, l2: 0.00036284966275464586
   Iteration 25 of 100, tot loss = 4.678206377029419, l1: 0.0001049914295435883, l2: 0.0003628292115172371
   Iteration 26 of 100, tot loss = 4.737763414016137, l1: 0.00010541552574767802, l2: 0.0003683608189861004
   Iteration 27 of 100, tot loss = 4.78389209288138, l1: 0.00010557488874635762, l2: 0.0003728143244559221
   Iteration 28 of 100, tot loss = 4.7157294154167175, l1: 0.00010456018130103725, l2: 0.00036701276414013203
   Iteration 29 of 100, tot loss = 4.670525435743661, l1: 0.00010381144539710006, l2: 0.00036324110185197584
   Iteration 30 of 100, tot loss = 4.6647590637207035, l1: 0.00010300705495562094, l2: 0.0003634688546299003
   Iteration 31 of 100, tot loss = 4.682304582288189, l1: 0.0001033292151518136, l2: 0.00036490124588336553
   Iteration 32 of 100, tot loss = 4.653984881937504, l1: 0.00010265916375828965, l2: 0.00036273932664698805
   Iteration 33 of 100, tot loss = 4.629823576320302, l1: 0.00010200523507647273, l2: 0.00036097712467325795
   Iteration 34 of 100, tot loss = 4.691469381837284, l1: 0.00010305722496602411, l2: 0.00036608971619417016
   Iteration 35 of 100, tot loss = 4.674099602018084, l1: 0.00010340054328220764, l2: 0.000364009419406232
   Iteration 36 of 100, tot loss = 4.721747113598718, l1: 0.00010454431483392707, l2: 0.0003676303996245325
   Iteration 37 of 100, tot loss = 4.65912102364205, l1: 0.00010318482767419286, l2: 0.00036272727742766
   Iteration 38 of 100, tot loss = 4.775756911227577, l1: 0.00010468383985234571, l2: 0.0003728918527485803
   Iteration 39 of 100, tot loss = 4.724769439452734, l1: 0.00010403673998856296, l2: 0.0003684402058402506
   Iteration 40 of 100, tot loss = 4.746292299032211, l1: 0.00010501373035367578, l2: 0.00036961550213163716
   Iteration 41 of 100, tot loss = 4.78306110312299, l1: 0.00010557137053493956, l2: 0.0003727347413986558
   Iteration 42 of 100, tot loss = 4.786152482032776, l1: 0.00010538279509221735, l2: 0.0003732324541834671
   Iteration 43 of 100, tot loss = 4.769395146259042, l1: 0.00010502485197638486, l2: 0.0003719146628755816
   Iteration 44 of 100, tot loss = 4.784490439024839, l1: 0.00010509169723346449, l2: 0.0003733573466888629
   Iteration 45 of 100, tot loss = 4.825074677997165, l1: 0.00010614213517530717, l2: 0.0003763653331487957
   Iteration 46 of 100, tot loss = 4.809475136839825, l1: 0.00010549218052841277, l2: 0.00037545533395250857
   Iteration 47 of 100, tot loss = 4.760967655384794, l1: 0.00010478922489168559, l2: 0.0003713075414626919
   Iteration 48 of 100, tot loss = 4.828405722975731, l1: 0.00010610538508141569, l2: 0.0003767351887897045
   Iteration 49 of 100, tot loss = 4.806959930731326, l1: 0.00010594271722710596, l2: 0.00037475327761577707
   Iteration 50 of 100, tot loss = 4.805064582824707, l1: 0.00010589830679236912, l2: 0.0003746081527788192
