nohup: ignoring input
Loading weights from /autofs/space/nicc_005/users/olchanyi/DiffSR/model_outputs_v13/checkpoint_0055.pth
Epoch 56 of 2000
Found 300 cases for training
   Iteration 1 of 100, loss = 0.007026712875813246
   Iteration 2 of 100, loss = 0.006633861223235726
   Iteration 3 of 100, loss = 0.006277815904468298
   Iteration 4 of 100, loss = 0.006037680897861719
   Iteration 5 of 100, loss = 0.00561950895935297
   Iteration 41 of 100, loss = 0.005459052800178164
   Iteration 42 of 100, loss = 0.0054922826710112746
   Iteration 43 of 100, loss = 0.005432485478258756
   Iteration 44 of 100, loss = 0.005368422097738155
   Iteration 45 of 100, loss = 0.005278523080050945
   Iteration 46 of 100, loss = 0.005268885521218181
   Iteration 47 of 100, loss = 0.005252374207323536
   Iteration 48 of 100, loss = 0.005264300571676965
   Iteration 49 of 100, loss = 0.005198359042786213
   Iteration 50 of 100, loss = 0.005304292300716043
   Iteration 51 of 100, loss = 0.005318319708035857
   Iteration 52 of 100, loss = 0.00530613366012963
   Iteration 53 of 100, loss = 0.005257356138724201
   Iteration 54 of 100, loss = 0.0052650010782397455
   Iteration 55 of 100, loss = 0.005255373118614608
   Iteration 56 of 100, loss = 0.005239144799166492
   Iteration 57 of 100, loss = 0.0052322886246991785
   Iteration 58 of 100, loss = 0.00518954042264999
   Iteration 59 of 100, loss = 0.005252924680678269
   Iteration 60 of 100, loss = 0.005263266491238028
   Iteration 61 of 100, loss = 0.005308312436443616
   Iteration 62 of 100, loss = 0.0053812646599967155
   Iteration 63 of 100, loss = 0.005391447963784375
   Iteration 64 of 100, loss = 0.005376619224989554
   Iteration 65 of 100, loss = 0.005402567241197595
   Iteration 66 of 100, loss = 0.0053933887199188275
   Iteration 67 of 100, loss = 0.005374755699938135
   Iteration 68 of 100, loss = 0.005350479260360932
   Iteration 69 of 100, loss = 0.005312139806135193
   Iteration 70 of 100, loss = 0.005312073420334075
   Iteration 71 of 100, loss = 0.005287845048423804
   Iteration 72 of 100, loss = 0.005258984964004614
   Iteration 73 of 100, loss = 0.005232046575170674
   Iteration 74 of 100, loss = 0.0052420202000821765
   Iteration 75 of 100, loss = 0.005212156604975462
   Iteration 76 of 100, loss = 0.005226029585556765
   Iteration 77 of 100, loss = 0.0052724126847339915
   Iteration 78 of 100, loss = 0.005264551796687719
   Iteration 79 of 100, loss = 0.00525988745679961
   Iteration 80 of 100, loss = 0.005327802477404475
   Iteration 81 of 100, loss = 0.0053186014202641855
   Iteration 82 of 100, loss = 0.005319978178637784
   Iteration 83 of 100, loss = 0.005344568998608963
   Iteration 84 of 100, loss = 0.005354082777297923
   Iteration 85 of 100, loss = 0.005336520522285034
   Iteration 86 of 100, loss = 0.005317497600498068
   Iteration 87 of 100, loss = 0.005277261348045163
   Iteration 88 of 100, loss = 0.005273570519586263
   Iteration 89 of 100, loss = 0.005293547611401071
   Iteration 90 of 100, loss = 0.0052673987669145895
   Iteration 91 of 100, loss = 0.005316792827375888
   Iteration 92 of 100, loss = 0.005326279341597515
   Iteration 93 of 100, loss = 0.00532321591726354
   Iteration 94 of 100, loss = 0.005297626114816979
   Iteration 95 of 100, loss = 0.005309258272724324
   Iteration 96 of 100, loss = 0.005316218010799882
   Iteration 97 of 100, loss = 0.0052964256454700815
   Iteration 98 of 100, loss = 0.005357465593914064
   Iteration 99 of 100, loss = 0.005372588552130067
   Iteration 100 of 100, loss = 0.0053664078342262654

   End of epoch 56; saving model... 

Epoch 57 of 2000
   Iteration 1 of 100, loss = 0.00526793859899044
   Iteration 2 of 100, loss = 0.005486789857968688
   Iteration 3 of 100, loss = 0.005108536686748266
   Iteration 4 of 100, loss = 0.006218618829734623
   Iteration 5 of 100, loss = 0.006609319802373647
   Iteration 6 of 100, loss = 0.006148634284424285
   Iteration 7 of 100, loss = 0.00577985352304365
   Iteration 8 of 100, loss = 0.005490924173500389
   Iteration 9 of 100, loss = 0.005691558019154602
   Iteration 10 of 100, loss = 0.005654799286276102
   Iteration 11 of 100, loss = 0.005725742063739083
   Iteration 12 of 100, loss = 0.005607229385835429
   Iteration 13 of 100, loss = 0.0054423128111431235
   Iteration 14 of 100, loss = 0.005437531641551426
   Iteration 15 of 100, loss = 0.005798704922199249
   Iteration 16 of 100, loss = 0.0058536946307867765
   Iteration 17 of 100, loss = 0.0059653644121306785
   Iteration 18 of 100, loss = 0.00607541299218105
   Iteration 19 of 100, loss = 0.006104557799469484
   Iteration 20 of 100, loss = 0.005965513852424919
   Iteration 21 of 100, loss = 0.005942990959045433
   Iteration 22 of 100, loss = 0.00610763295976953
   Iteration 23 of 100, loss = 0.006146181476018999
   Iteration 24 of 100, loss = 0.006014720119613533
   Iteration 25 of 100, loss = 0.0061632146779447795
   Iteration 26 of 100, loss = 0.0060883097511787825
   Iteration 27 of 100, loss = 0.006157426275657835
   Iteration 28 of 100, loss = 0.006140853220131248
   Iteration 29 of 100, loss = 0.006166744455374007
   Iteration 30 of 100, loss = 0.006416468811221421
   Iteration 31 of 100, loss = 0.006358928415143202
   Iteration 32 of 100, loss = 0.006424464670999441
   Iteration 33 of 100, loss = 0.006392204872981617
   Iteration 34 of 100, loss = 0.006398438838967944
   Iteration 35 of 100, loss = 0.006462677920769368
   Iteration 36 of 100, loss = 0.006448165287211951
   Iteration 37 of 100, loss = 0.0064940301613328425
   Iteration 38 of 100, loss = 0.006445207173543933
   Iteration 39 of 100, loss = 0.006350943144076528
   Iteration 40 of 100, loss = 0.006324307125760242
   Iteration 41 of 100, loss = 0.006401838411054597
   Iteration 42 of 100, loss = 0.006344888143108359
   Iteration 43 of 100, loss = 0.006354107245326389
   Iteration 44 of 100, loss = 0.006454777697482231
   Iteration 45 of 100, loss = 0.006466918588719435
   Iteration 46 of 100, loss = 0.006482613905656921
   Iteration 47 of 100, loss = 0.006414369987125726
   Iteration 48 of 100, loss = 0.006387313284600775
   Iteration 49 of 100, loss = 0.006426605205906898
   Iteration 50 of 100, loss = 0.006496393065899611
   Iteration 51 of 100, loss = 0.006561393739984316
   Iteration 52 of 100, loss = 0.006543114082887769
   Iteration 53 of 100, loss = 0.006496948655694723
   Iteration 54 of 100, loss = 0.006479302352225339
   Iteration 55 of 100, loss = 0.006406178367747502
   Iteration 56 of 100, loss = 0.006427803949918598
   Iteration 57 of 100, loss = 0.006483553377748059
   Iteration 58 of 100, loss = 0.006461760583173098
   Iteration 59 of 100, loss = 0.006426793467884852
   Iteration 60 of 100, loss = 0.006492402117388944
   Iteration 61 of 100, loss = 0.006454106321039259
   Iteration 62 of 100, loss = 0.006445333767201631
   Iteration 63 of 100, loss = 0.006426254146924567
   Iteration 64 of 100, loss = 0.006408076129446272
   Iteration 65 of 100, loss = 0.0064260647847102234
   Iteration 66 of 100, loss = 0.00643130621139073
   Iteration 67 of 100, loss = 0.006429690471502827
   Iteration 68 of 100, loss = 0.006431431406834985
   Iteration 69 of 100, loss = 0.006400668338966974
   Iteration 70 of 100, loss = 0.006357253938248115
   Iteration 71 of 100, loss = 0.006338619190910963
   Iteration 72 of 100, loss = 0.0063264377563933116
   Iteration 73 of 100, loss = 0.006279987930511571
   Iteration 74 of 100, loss = 0.0062779503515795676
   Iteration 75 of 100, loss = 0.006292787985876203
   Iteration 76 of 100, loss = 0.0062999247518172
   Iteration 77 of 100, loss = 0.006304194984425392
   Iteration 78 of 100, loss = 0.006377818161406769
   Iteration 79 of 100, loss = 0.006384200784908254
   Iteration 80 of 100, loss = 0.006435387724195607
   Iteration 81 of 100, loss = 0.006399464454317902
   Iteration 82 of 100, loss = 0.006381971443571695
   Iteration 83 of 100, loss = 0.006357212500444737
   Iteration 84 of 100, loss = 0.006390341940069837
   Iteration 85 of 100, loss = 0.006401005075039232
   Iteration 86 of 100, loss = 0.006372424595187916
   Iteration 87 of 100, loss = 0.006351572466778687
   Iteration 88 of 100, loss = 0.006357520501213995
   Iteration 89 of 100, loss = 0.006310219554691
   Iteration 90 of 100, loss = 0.006329123543885847
   Iteration 91 of 100, loss = 0.006341968158996858
   Iteration 92 of 100, loss = 0.006334961769069829
   Iteration 93 of 100, loss = 0.006335193924705988
   Iteration 94 of 100, loss = 0.006340460814634695
   Iteration 95 of 100, loss = 0.006312014214008262
   Iteration 96 of 100, loss = 0.006315256519883405
   Iteration 97 of 100, loss = 0.006312587348859489
   Iteration 98 of 100, loss = 0.006337696555716803
   Iteration 99 of 100, loss = 0.006359338668654814
   Iteration 100 of 100, loss = 0.006320082282181829

   End of epoch 57; saving model... 

Epoch 58 of 2000
   Iteration 1 of 100, loss = 0.0046319784596562386
   Iteration 2 of 100, loss = 0.0045515133533626795
   Iteration 3 of 100, loss = 0.00622147989148895
   Iteration 4 of 100, loss = 0.005305690574459732
   Iteration 5 of 100, loss = 0.0060835697688162325
   Iteration 6 of 100, loss = 0.00551695244697233
   Iteration 7 of 100, loss = 0.005503211902188403
   Iteration 8 of 100, loss = 0.005350362858735025
   Iteration 9 of 100, loss = 0.005362614627099699
   Iteration 10 of 100, loss = 0.005346179846674204
   Iteration 11 of 100, loss = 0.005606092343276197
   Iteration 12 of 100, loss = 0.005490325197267036
   Iteration 13 of 100, loss = 0.005428674236799662
   Iteration 14 of 100, loss = 0.00573728043985154
   Iteration 15 of 100, loss = 0.005676710947106282
   Iteration 16 of 100, loss = 0.005797773919766769
   Iteration 17 of 100, loss = 0.005607325898702531
   Iteration 18 of 100, loss = 0.005560303714850711
   Iteration 19 of 100, loss = 0.0055158736649900675
   Iteration 20 of 100, loss = 0.00556603231234476
   Iteration 21 of 100, loss = 0.005647078744091448
   Iteration 22 of 100, loss = 0.0056602567836472936
   Iteration 23 of 100, loss = 0.0058804420734067326
   Iteration 24 of 100, loss = 0.005833291303133592
   Iteration 25 of 100, loss = 0.005783368097618222
   Iteration 26 of 100, loss = 0.005800281875193692
   Iteration 27 of 100, loss = 0.005895528744009358
   Iteration 28 of 100, loss = 0.0059085506197464254
   Iteration 29 of 100, loss = 0.00582060001084003
   Iteration 30 of 100, loss = 0.005772351194173098
   Iteration 31 of 100, loss = 0.005776182823483983
   Iteration 32 of 100, loss = 0.0060590144857997075
   Iteration 33 of 100, loss = 0.006025837028794216
   Iteration 34 of 100, loss = 0.005957181086106335
   Iteration 35 of 100, loss = 0.0058956048384841
   Iteration 36 of 100, loss = 0.005863773681792534
   Iteration 37 of 100, loss = 0.005826585567430468
   Iteration 38 of 100, loss = 0.005852854669731306
   Iteration 39 of 100, loss = 0.0058886693515934245
   Iteration 40 of 100, loss = 0.0058629092236515135
   Iteration 41 of 100, loss = 0.005873223806436106
   Iteration 42 of 100, loss = 0.0059226097128841845
   Iteration 43 of 100, loss = 0.005880046630451499
   Iteration 44 of 100, loss = 0.0058295259474438026
   Iteration 45 of 100, loss = 0.005749565512976713
   Iteration 46 of 100, loss = 0.005792547022397427
   Iteration 47 of 100, loss = 0.005756607422842942
   Iteration 48 of 100, loss = 0.005847042605940563
   Iteration 49 of 100, loss = 0.005909147943198985
   Iteration 50 of 100, loss = 0.005902820103801787
   Iteration 51 of 100, loss = 0.005966575985190039
   Iteration 52 of 100, loss = 0.005965406500483648
   Iteration 53 of 100, loss = 0.005923471707885839
   Iteration 54 of 100, loss = 0.005890671418186415
   Iteration 55 of 100, loss = 0.005905072115869684
   Iteration 56 of 100, loss = 0.005901971877652353
   Iteration 57 of 100, loss = 0.0059107097249739525
   Iteration 58 of 100, loss = 0.005864866732234328
   Iteration 59 of 100, loss = 0.005859469533187605
   Iteration 60 of 100, loss = 0.005836738036790242
   Iteration 61 of 100, loss = 0.005808841792072673
   Iteration 62 of 100, loss = 0.005859330991253017
   Iteration 63 of 100, loss = 0.005854616839704769
   Iteration 64 of 100, loss = 0.005844786657689838
   Iteration 65 of 100, loss = 0.005842891711598405
   Iteration 66 of 100, loss = 0.005790071780652259
   Iteration 67 of 100, loss = 0.005750665677461161
   Iteration 68 of 100, loss = 0.005739600733196472
   Iteration 69 of 100, loss = 0.005740074906498194
   Iteration 70 of 100, loss = 0.005719890578516892
   Iteration 71 of 100, loss = 0.005689234853210583
   Iteration 72 of 100, loss = 0.005698811055885421
   Iteration 73 of 100, loss = 0.005757811581333206
   Iteration 74 of 100, loss = 0.005736579394874138
   Iteration 75 of 100, loss = 0.005738434890906016
   Iteration 76 of 100, loss = 0.005772007898868699
   Iteration 77 of 100, loss = 0.005753737009529557
   Iteration 78 of 100, loss = 0.005804537670113719
   Iteration 79 of 100, loss = 0.0058432853945731365
   Iteration 80 of 100, loss = 0.0058461473847273735
   Iteration 81 of 100, loss = 0.005869018810766714
   Iteration 82 of 100, loss = 0.005837567181826183
   Iteration 83 of 100, loss = 0.005859935412138521
   Iteration 84 of 100, loss = 0.005856290523384121
   Iteration 85 of 100, loss = 0.005829684176098774
   Iteration 86 of 100, loss = 0.005850191810168326
   Iteration 87 of 100, loss = 0.005856737989568333
   Iteration 88 of 100, loss = 0.005857735568001358
   Iteration 89 of 100, loss = 0.0058455683285726255
   Iteration 90 of 100, loss = 0.005814386223856774
   Iteration 91 of 100, loss = 0.005784346530173015
   Iteration 92 of 100, loss = 0.0057580740641519105
   Iteration 93 of 100, loss = 0.005720423697243615
   Iteration 94 of 100, loss = 0.005731749553926923
   Iteration 95 of 100, loss = 0.005715831758846578
   Iteration 96 of 100, loss = 0.005706187475880142
   Iteration 97 of 100, loss = 0.0056861361186260105
   Iteration 98 of 100, loss = 0.005687421475233016
   Iteration 99 of 100, loss = 0.005673443284732374
   Iteration 100 of 100, loss = 0.005706628717016429

   End of epoch 58; saving model... 

Epoch 59 of 2000
   Iteration 1 of 100, loss = 0.004844471346586943
   Iteration 2 of 100, loss = 0.004723572405055165
   Iteration 3 of 100, loss = 0.004014462931081653
   Iteration 4 of 100, loss = 0.003510227135848254
   Iteration 5 of 100, loss = 0.0047912127804011105
   Iteration 6 of 100, loss = 0.004975747743931909
   Iteration 7 of 100, loss = 0.005171303537541202
   Iteration 8 of 100, loss = 0.0048544867895543575
   Iteration 9 of 100, loss = 0.005007173762553268
   Iteration 10 of 100, loss = 0.005175598710775375
   Iteration 11 of 100, loss = 0.005094108298759569
   Iteration 12 of 100, loss = 0.004999374194691579
   Iteration 13 of 100, loss = 0.004928396405795446
   Iteration 14 of 100, loss = 0.004792529856786132
   Iteration 15 of 100, loss = 0.0048255206396182375
   Iteration 16 of 100, loss = 0.0047534309851471335
   Iteration 17 of 100, loss = 0.005110959056764841
   Iteration 18 of 100, loss = 0.005027672883847522
   Iteration 19 of 100, loss = 0.004953188613351239
   Iteration 20 of 100, loss = 0.005115966487210244
   Iteration 21 of 100, loss = 0.005130384749333773
   Iteration 22 of 100, loss = 0.005043563972735269
   Iteration 23 of 100, loss = 0.005105606533344026
   Iteration 24 of 100, loss = 0.005137874308275059
   Iteration 25 of 100, loss = 0.005089680468663573
   Iteration 26 of 100, loss = 0.005079609906085982
   Iteration 27 of 100, loss = 0.005111702088335598
   Iteration 28 of 100, loss = 0.0050079945441601536
   Iteration 29 of 100, loss = 0.005192130884348318
   Iteration 30 of 100, loss = 0.005368604278191924
   Iteration 31 of 100, loss = 0.005347198941895078
   Iteration 32 of 100, loss = 0.005314278503647074
   Iteration 33 of 100, loss = 0.005239387127486142
   Iteration 34 of 100, loss = 0.005292907083297477
   Iteration 35 of 100, loss = 0.005278975197247096
   Iteration 36 of 100, loss = 0.005308038076489336
   Iteration 37 of 100, loss = 0.005255827466277657
   Iteration 38 of 100, loss = 0.005263662823524915
   Iteration 39 of 100, loss = 0.00519303322578661
   Iteration 40 of 100, loss = 0.005226628232048824
   Iteration 41 of 100, loss = 0.005187902332669715
   Iteration 42 of 100, loss = 0.005233793281063083
   Iteration 43 of 100, loss = 0.005275041119433766
   Iteration 44 of 100, loss = 0.005217748794662343
   Iteration 45 of 100, loss = 0.005220433960979183
   Iteration 46 of 100, loss = 0.005178709772577428
   Iteration 47 of 100, loss = 0.005163635845553685
   Iteration 48 of 100, loss = 0.0052105293192047
   Iteration 49 of 100, loss = 0.005245505570795159
   Iteration 50 of 100, loss = 0.005305485804565251
   Iteration 51 of 100, loss = 0.0053099182699167845
   Iteration 52 of 100, loss = 0.005279348370654939
   Iteration 53 of 100, loss = 0.005210297935607158
   Iteration 54 of 100, loss = 0.005213666101486457
   Iteration 55 of 100, loss = 0.005156542536463927
   Iteration 56 of 100, loss = 0.005201537925001633
   Iteration 57 of 100, loss = 0.005235099623780371
   Iteration 58 of 100, loss = 0.00522862424359432
   Iteration 59 of 100, loss = 0.005263761962542974
   Iteration 60 of 100, loss = 0.005276458398050939
   Iteration 61 of 100, loss = 0.005331091260247421
   Iteration 62 of 100, loss = 0.005289637147554106
   Iteration 63 of 100, loss = 0.005329976961504491
   Iteration 64 of 100, loss = 0.0053201455830276245
   Iteration 65 of 100, loss = 0.005298800073349132
   Iteration 66 of 100, loss = 0.005324011451607062
   Iteration 67 of 100, loss = 0.005338774425839421
   Iteration 68 of 100, loss = 0.005317538293585291
   Iteration 69 of 100, loss = 0.0053210133042159505
   Iteration 70 of 100, loss = 0.005283064712836807
   Iteration 71 of 100, loss = 0.00525774827889416
   Iteration 72 of 100, loss = 0.0052552225679391995
   Iteration 73 of 100, loss = 0.005233509614361986
   Iteration 74 of 100, loss = 0.005250481877639587
   Iteration 75 of 100, loss = 0.005266639883629977
   Iteration 76 of 100, loss = 0.005247939698165283
   Iteration 77 of 100, loss = 0.005208360852201941
   Iteration 78 of 100, loss = 0.005217595955727097
   Iteration 79 of 100, loss = 0.005210515057161167
   Iteration 80 of 100, loss = 0.005178440049348865
   Iteration 81 of 100, loss = 0.0051583172135445995
   Iteration 82 of 100, loss = 0.005164080374681096
   Iteration 83 of 100, loss = 0.005176859869935875
   Iteration 84 of 100, loss = 0.005185816122407448
   Iteration 85 of 100, loss = 0.005151052697671249
   Iteration 86 of 100, loss = 0.005152396084794905
   Iteration 87 of 100, loss = 0.005168545649965005
   Iteration 88 of 100, loss = 0.005173581463168375
   Iteration 89 of 100, loss = 0.005180659448843073
   Iteration 90 of 100, loss = 0.005170538774432821
   Iteration 91 of 100, loss = 0.0051621129841206
   Iteration 92 of 100, loss = 0.005220772856694605
   Iteration 93 of 100, loss = 0.005220032233234135
   Iteration 94 of 100, loss = 0.005245349019458716
   Iteration 95 of 100, loss = 0.005250067127819516
   Iteration 96 of 100, loss = 0.005238881554153825
   Iteration 97 of 100, loss = 0.0052431480702224
   Iteration 98 of 100, loss = 0.005267864042104279
   Iteration 99 of 100, loss = 0.005245092791749748
   Iteration 100 of 100, loss = 0.005288310503819957

   End of epoch 59; saving model... 

Epoch 60 of 2000
   Iteration 1 of 100, loss = 0.007084086537361145
   Iteration 2 of 100, loss = 0.006896980572491884
   Iteration 3 of 100, loss = 0.005217997163223724
   Iteration 4 of 100, loss = 0.00467855206807144
   Iteration 5 of 100, loss = 0.004761877586133778
   Iteration 6 of 100, loss = 0.004831471267001082
   Iteration 7 of 100, loss = 0.005715524328739515
   Iteration 8 of 100, loss = 0.005907148428377695
   Iteration 9 of 100, loss = 0.0058936841087415814
   Iteration 10 of 100, loss = 0.0056549750152044
   Iteration 11 of 100, loss = 0.005586910008622164
   Iteration 12 of 100, loss = 0.005327752878656611
   Iteration 13 of 100, loss = 0.005090767956482103
   Iteration 14 of 100, loss = 0.004930724414797234
   Iteration 15 of 100, loss = 0.004967237566597759
   Iteration 16 of 100, loss = 0.004911278483632486
   Iteration 17 of 100, loss = 0.005022797261036056
   Iteration 18 of 100, loss = 0.005147826566826552
   Iteration 19 of 100, loss = 0.005064158400177564
   Iteration 20 of 100, loss = 0.005191155796637759
   Iteration 21 of 100, loss = 0.005292790115899628
   Iteration 22 of 100, loss = 0.005244415121110665
   Iteration 23 of 100, loss = 0.005114337221881294
   Iteration 24 of 100, loss = 0.005334510075044818
   Iteration 25 of 100, loss = 0.0052801118558272716
   Iteration 26 of 100, loss = 0.005177341101583666
   Iteration 27 of 100, loss = 0.005257009015487576
   Iteration 28 of 100, loss = 0.005183600226051307
   Iteration 29 of 100, loss = 0.005126028574585658
   Iteration 30 of 100, loss = 0.0050362518639303746
   Iteration 31 of 100, loss = 0.00499245741089145
   Iteration 32 of 100, loss = 0.005037256476498442
   Iteration 33 of 100, loss = 0.004991726889839452
   Iteration 34 of 100, loss = 0.005057387899689595
   Iteration 35 of 100, loss = 0.005152841334763382
   Iteration 36 of 100, loss = 0.005061666406820425
   Iteration 37 of 100, loss = 0.004989753851692217
   Iteration 38 of 100, loss = 0.004926627860282008
   Iteration 39 of 100, loss = 0.004922198051085265
   Iteration 40 of 100, loss = 0.004925541699049063
   Iteration 41 of 100, loss = 0.004904146649783886
   Iteration 42 of 100, loss = 0.004870728426058555
   Iteration 43 of 100, loss = 0.004849859418585723
   Iteration 44 of 100, loss = 0.0048779762609311465
   Iteration 45 of 100, loss = 0.004964242246933282
   Iteration 46 of 100, loss = 0.005064641360861614
   Iteration 47 of 100, loss = 0.005040908492408059
   Iteration 48 of 100, loss = 0.004992262908975438
   Iteration 49 of 100, loss = 0.005077950791835937
   Iteration 50 of 100, loss = 0.005051663687918335
   Iteration 51 of 100, loss = 0.00508849989558917
   Iteration 52 of 100, loss = 0.005099682497809856
   Iteration 53 of 100, loss = 0.005225933932277532
   Iteration 54 of 100, loss = 0.005348012077673856
   Iteration 55 of 100, loss = 0.005378961759958077
   Iteration 56 of 100, loss = 0.005387537225033157
   Iteration 57 of 100, loss = 0.005418127355688627
   Iteration 58 of 100, loss = 0.00544215435491361
   Iteration 59 of 100, loss = 0.0054845381863573095
   Iteration 60 of 100, loss = 0.005480759476389115
   Iteration 61 of 100, loss = 0.00550117635465853
   Iteration 62 of 100, loss = 0.005500800143401589
   Iteration 63 of 100, loss = 0.005483056982195685
   Iteration 64 of 100, loss = 0.005534483907467802
   Iteration 65 of 100, loss = 0.005579063828246525
   Iteration 66 of 100, loss = 0.005584528234039405
   Iteration 67 of 100, loss = 0.0055976226637417924
   Iteration 68 of 100, loss = 0.005569157322444131
   Iteration 69 of 100, loss = 0.00561295083447265
   Iteration 70 of 100, loss = 0.005610292486380786
   Iteration 71 of 100, loss = 0.005581488178610067
   Iteration 72 of 100, loss = 0.005605392495959273
   Iteration 73 of 100, loss = 0.005609498195005709
   Iteration 74 of 100, loss = 0.0055906441946816
   Iteration 75 of 100, loss = 0.005573964021168649
   Iteration 76 of 100, loss = 0.005601783909553073
   Iteration 77 of 100, loss = 0.005637665776620534
   Iteration 78 of 100, loss = 0.005626826411268364
   Iteration 79 of 100, loss = 0.00565366816701061
   Iteration 80 of 100, loss = 0.005668760761909653
   Iteration 81 of 100, loss = 0.005684438921844609
   Iteration 82 of 100, loss = 0.005645257189426935
   Iteration 83 of 100, loss = 0.0056486409339851825
   Iteration 84 of 100, loss = 0.005616568551409901
   Iteration 85 of 100, loss = 0.005611126712413834
   Iteration 86 of 100, loss = 0.00561485457001254
   Iteration 87 of 100, loss = 0.005603568838513188
   Iteration 88 of 100, loss = 0.005577994226107628
   Iteration 89 of 100, loss = 0.0055385900705822565
   Iteration 90 of 100, loss = 0.005538186551226924
   Iteration 91 of 100, loss = 0.00552900400713782
   Iteration 92 of 100, loss = 0.005524734841183881
   Iteration 93 of 100, loss = 0.0055108885643803465
   Iteration 94 of 100, loss = 0.005480046571044133
   Iteration 95 of 100, loss = 0.005454581768840159
   Iteration 96 of 100, loss = 0.005448031063375917
   Iteration 97 of 100, loss = 0.005440105169233818
   Iteration 98 of 100, loss = 0.00544852132277031
   Iteration 99 of 100, loss = 0.005424073414002179
   Iteration 100 of 100, loss = 0.005404297908535227

   End of epoch 60; saving model... 

Epoch 61 of 2000
   Iteration 1 of 100, loss = 0.008449183776974678
   Iteration 2 of 100, loss = 0.0073768876027315855
   Iteration 3 of 100, loss = 0.006695988122373819
   Iteration 4 of 100, loss = 0.007735276012681425
   Iteration 5 of 100, loss = 0.007396125141531229
   Iteration 6 of 100, loss = 0.008113983940954009
   Iteration 7 of 100, loss = 0.008274833605225598
   Iteration 8 of 100, loss = 0.008462743076961488
   Iteration 9 of 100, loss = 0.007806475610575742
   Iteration 10 of 100, loss = 0.007604801026172936
   Iteration 11 of 100, loss = 0.007118364859541709
   Iteration 12 of 100, loss = 0.006836992086997877
   Iteration 13 of 100, loss = 0.006754533799651723
   Iteration 14 of 100, loss = 0.0066059575183317065
   Iteration 15 of 100, loss = 0.0063349339955796795
   Iteration 16 of 100, loss = 0.006327567374682985
   Iteration 17 of 100, loss = 0.0061149347765261635
   Iteration 18 of 100, loss = 0.0060370338226978975
   Iteration 19 of 100, loss = 0.005826296836235805
   Iteration 20 of 100, loss = 0.0058365400065667926
   Iteration 21 of 100, loss = 0.005936673055181191
   Iteration 22 of 100, loss = 0.00607266367032108
   Iteration 23 of 100, loss = 0.006015525533534263
   Iteration 24 of 100, loss = 0.006130016806613033
   Iteration 25 of 100, loss = 0.006208824822679162
   Iteration 26 of 100, loss = 0.006318031747538883
   Iteration 27 of 100, loss = 0.006261341782562711
   Iteration 28 of 100, loss = 0.006311928013539208
   Iteration 29 of 100, loss = 0.006224784269479328
   Iteration 30 of 100, loss = 0.006251481617800892
   Iteration 31 of 100, loss = 0.006264266805843481
   Iteration 32 of 100, loss = 0.006429579902032856
   Iteration 33 of 100, loss = 0.006410416194491766
   Iteration 34 of 100, loss = 0.006366603850277469
   Iteration 35 of 100, loss = 0.006307848922110029
   Iteration 36 of 100, loss = 0.006306487646523035
   Iteration 37 of 100, loss = 0.0063047409623962
   Iteration 38 of 100, loss = 0.006228018270217274
   Iteration 39 of 100, loss = 0.006144664262254269
   Iteration 40 of 100, loss = 0.006170887174084783
   Iteration 41 of 100, loss = 0.006148220403347074
